source,target,frequency,traj_ids
10,9,7,"[105, 116, 129, 300, 321, 489]"
9,0,7,"[105, 116, 129, 300, 321, 489]"
0,573,1,[107]
157,158,1,[107]
0,235,11,"[108, 141, 143, 200, 230, 369, 443, 826, 879, 899, 1010]"
235,236,7,"[108, 141, 369, 468, 826, 899, 1019]"
236,31,3,"[108, 141, 1019]"
31,237,9,"[108, 230, 396, 397, 781, 826, 831, 915, 1070]"
237,240,3,"[108, 230, 826]"
240,238,4,"[108, 396, 826, 1070]"
238,239,6,"[108, 396, 397, 736, 826, 1070]"
239,238,7,"[108, 396, 397, 736, 826, 915, 1070]"
238,240,5,"[108, 736, 826, 915, 1070]"
240,241,3,"[108, 826, 915]"
241,237,4,"[108, 396, 397, 826]"
237,31,7,"[108, 369, 396, 397, 736, 826, 1070]"
31,242,3,"[108, 604, 1018]"
242,297,5,"[108, 141, 604, 736, 1018]"
297,243,2,"[108, 1018]"
243,244,1,[108]
244,200,7,"[108, 399, 736, 777, 778, 909, 1018]"
0,221,2,"[108, 114]"
202,244,3,"[110, 239, 250]"
244,245,2,"[110, 588]"
245,351,1,[110]
351,246,1,[110]
246,244,9,"[110, 239, 399, 514, 588, 663, 777, 778, 909]"
244,247,12,"[110, 141, 231, 238, 239, 243, 250, 256, 514, 588, 663, 1095]"
247,0,12,"[110, 141, 231, 238, 239, 243, 250, 256, 514, 588, 663, 1095]"
0,248,2,"[111, 123]"
248,249,2,"[111, 123]"
249,248,2,"[111, 123]"
248,0,2,"[111, 123]"
233,250,2,"[116, 489]"
250,251,1,[116]
230,252,7,"[116, 117, 300, 648, 852, 853]"
252,253,4,"[116, 117, 648, 852]"
253,227,2,"[116, 648]"
228,252,1,[116]
252,230,3,"[116, 129, 679]"
0,152,4,"[116, 118, 405, 813]"
147,146,11,"[116, 118, 302, 308, 311, 314, 320, 853, 866, 916, 1081]"
145,144,8,"[116, 118, 302, 311, 314, 320, 916, 1081]"
144,143,7,"[116, 118, 302, 314, 320, 916, 1081]"
143,142,10,"[116, 118, 302, 308, 314, 320, 405, 853, 916, 1081]"
142,141,5,"[116, 405, 853, 916, 1081]"
141,267,1,[116]
267,254,2,"[116, 118]"
254,255,3,"[116, 118, 1081]"
255,256,3,"[116, 405, 916]"
256,257,1,[116]
257,140,1,[116]
140,266,1,[116]
266,599,1,[116]
599,265,4,"[116, 405, 853, 916]"
265,258,2,"[116, 853]"
258,259,2,"[116, 1081]"
259,260,1,[116]
260,261,2,"[116, 405]"
261,259,2,"[116, 405]"
259,262,1,[116]
262,600,2,"[116, 853]"
600,263,2,"[116, 853]"
263,264,2,"[116, 853]"
264,263,2,"[116, 853]"
263,600,2,"[116, 853]"
600,262,2,"[116, 853]"
262,258,2,"[116, 853]"
258,265,2,"[116, 1081]"
265,599,3,"[116, 916, 1081]"
599,445,3,"[116, 916, 1081]"
139,266,3,"[116, 853, 1081]"
266,269,1,[116]
269,257,4,"[116, 853, 916, 1081]"
257,605,3,"[116, 916, 1081]"
605,447,3,"[116, 916, 1081]"
447,255,4,"[116, 405, 916, 1081]"
255,141,1,[116]
233,232,4,"[116, 300, 321, 648]"
232,231,4,"[116, 300, 321, 648]"
231,230,10,"[116, 117, 118, 129, 300, 321, 489, 648, 830, 852]"
252,225,1,[116]
0,250,4,"[117, 118, 129, 852]"
250,231,5,"[117, 118, 129, 489, 852]"
253,225,2,"[117, 852]"
10,0,4,"[117, 648, 852, 853]"
150,149,9,"[118, 302, 308, 314, 320, 853, 866, 916, 1081]"
142,267,1,[118]
255,139,1,[118]
139,446,1,[118]
446,260,2,"[118, 916]"
260,268,2,"[118, 916]"
268,260,2,"[118, 916]"
260,446,2,"[118, 916]"
446,140,1,[118]
269,254,1,[118]
254,267,5,"[118, 405, 853, 916, 1081]"
267,141,2,"[118, 405]"
145,270,2,"[118, 303]"
270,147,2,"[118, 303]"
147,411,3,"[118, 303, 405]"
411,234,1,[118]
234,150,3,"[118, 813, 866]"
152,0,10,"[118, 297, 309, 312, 315, 405, 504, 813, 866, 916]"
11,0,2,"[118, 830]"
0,271,7,"[120, 387, 408, 441, 461, 577, 827]"
