SN,SG,k
"[0, 34, 0]","[[5, 6], [96, 1], [96, 12], [96, 49], [179, 25], [179, 32]]",3
"[33, 3, 0, 34]","[[5, 6]]",4
"[3, 0, 34, 0]","[[5, 6]]",4
"[33, 3, 0, 34, 0]","[[5, 6]]",5
"[33, 0]","[[5, 7], [5, 11], [5, 14], [5, 17], [5, 18], [5, 22], [5, 27], [5, 34], [5, 38], [5, 40], [5, 42], [5, 43], [5, 45], [5, 47], [5, 50], [5, 52], [5, 53], [5, 62], [5, 66], [5, 84], [44, 49], [44, 60], [96, 3], [96, 14], [96, 98], [179, 36]]",2
"[0, 33]","[[5, 11], [5, 18], [5, 22], [5, 23], [5, 27], [5, 38], [5, 44], [5, 46], [5, 52], [5, 53], [5, 62], [5, 63], [5, 66], [5, 71], [5, 75], [5, 79], [35, 52], [44, 48], [96, 49], [96, 78], [96, 80], [96, 109]]",2
"[0, 33, 0]","[[5, 11], [5, 22], [5, 38], [5, 52], [5, 53], [5, 62]]",3
"[0, 35]","[[5, 13], [5, 66], [12, 19], [67, 43]]",2
"[35, 0]","[[5, 13], [67, 43]]",2
"[0, 35, 0]","[[5, 13], [67, 43]]",3
"[33, 8]","[[5, 14]]",2
"[8, 20]","[[5, 14], [82, 17]]",2
"[20, 6]","[[5, 14], [52, 22], [104, 62]]",2
"[6, 36]","[[5, 14]]",2
"[36, 30]","[[5, 14]]",2
"[30, 17]","[[5, 14]]",2
"[17, 34]","[[5, 14]]",2
"[34, 33]","[[5, 14], [5, 63], [5, 66], [44, 49], [96, 49]]",2
"[33, 246]","[[5, 14]]",2
"[246, 0]","[[5, 14]]",2
"[33, 0, 3]","[[5, 14], [5, 18]]",3
"[3, 33, 8]","[[5, 14]]",3
"[33, 8, 20]","[[5, 14]]",3
"[8, 20, 6]","[[5, 14]]",3
"[20, 6, 36]","[[5, 14]]",3
"[6, 36, 30]","[[5, 14]]",3
"[36, 30, 17]","[[5, 14]]",3
"[30, 17, 34]","[[5, 14]]",3
"[17, 34, 33]","[[5, 14]]",3
"[34, 33, 246]","[[5, 14]]",3
"[33, 246, 0]","[[5, 14]]",3
"[33, 0, 3, 33]","[[5, 14]]",4
"[0, 3, 33, 8]","[[5, 14]]",4
"[3, 33, 8, 20]","[[5, 14]]",4
"[33, 8, 20, 6]","[[5, 14]]",4
"[8, 20, 6, 36]","[[5, 14]]",4
"[20, 6, 36, 30]","[[5, 14]]",4
"[6, 36, 30, 17]","[[5, 14]]",4
"[36, 30, 17, 34]","[[5, 14]]",4
"[30, 17, 34, 33]","[[5, 14]]",4
"[17, 34, 33, 246]","[[5, 14]]",4
"[34, 33, 246, 0]","[[5, 14]]",4
"[33, 0, 3, 33, 8]","[[5, 14]]",5
"[0, 3, 33, 8, 20]","[[5, 14]]",5
"[3, 33, 8, 20, 6]","[[5, 14]]",5
"[33, 8, 20, 6, 36]","[[5, 14]]",5
"[8, 20, 6, 36, 30]","[[5, 14]]",5
"[20, 6, 36, 30, 17]","[[5, 14]]",5
"[6, 36, 30, 17, 34]","[[5, 14]]",5
"[36, 30, 17, 34, 33]","[[5, 14]]",5
"[30, 17, 34, 33, 246]","[[5, 14]]",5
"[17, 34, 33, 246, 0]","[[5, 14]]",5
"[33, 0, 3, 33, 8, 20]","[[5, 14]]",6
"[0, 3, 33, 8, 20, 6]","[[5, 14]]",6
"[3, 33, 8, 20, 6, 36]","[[5, 14]]",6
"[33, 8, 20, 6, 36, 30]","[[5, 14]]",6
"[8, 20, 6, 36, 30, 17]","[[5, 14]]",6
"[20, 6, 36, 30, 17, 34]","[[5, 14]]",6
"[6, 36, 30, 17, 34, 33]","[[5, 14]]",6
"[36, 30, 17, 34, 33, 246]","[[5, 14]]",6
"[30, 17, 34, 33, 246, 0]","[[5, 14]]",6
"[33, 0, 3, 33, 8, 20, 6]","[[5, 14]]",7
"[0, 3, 33, 8, 20, 6, 36]","[[5, 14]]",7
"[3, 33, 8, 20, 6, 36, 30]","[[5, 14]]",7
"[33, 8, 20, 6, 36, 30, 17]","[[5, 14]]",7
"[8, 20, 6, 36, 30, 17, 34]","[[5, 14]]",7
"[20, 6, 36, 30, 17, 34, 33]","[[5, 14]]",7
"[6, 36, 30, 17, 34, 33, 246]","[[5, 14]]",7
"[36, 30, 17, 34, 33, 246, 0]","[[5, 14]]",7
"[33, 0, 3, 33, 8, 20, 6, 36]","[[5, 14]]",8
"[0, 3, 33, 8, 20, 6, 36, 30]","[[5, 14]]",8
"[3, 33, 8, 20, 6, 36, 30, 17]","[[5, 14]]",8
"[33, 8, 20, 6, 36, 30, 17, 34]","[[5, 14]]",8
"[8, 20, 6, 36, 30, 17, 34, 33]","[[5, 14]]",8
"[20, 6, 36, 30, 17, 34, 33, 246]","[[5, 14]]",8
"[6, 36, 30, 17, 34, 33, 246, 0]","[[5, 14]]",8
"[33, 0, 3, 33, 8, 20, 6, 36, 30]","[[5, 14]]",9
"[0, 3, 33, 8, 20, 6, 36, 30, 17]","[[5, 14]]",9
"[3, 33, 8, 20, 6, 36, 30, 17, 34]","[[5, 14]]",9
"[33, 8, 20, 6, 36, 30, 17, 34, 33]","[[5, 14]]",9
"[8, 20, 6, 36, 30, 17, 34, 33, 246]","[[5, 14]]",9
"[20, 6, 36, 30, 17, 34, 33, 246, 0]","[[5, 14]]",9
"[33, 0, 3, 33, 8, 20, 6, 36, 30, 17]","[[5, 14]]",10
"[0, 3, 33, 8, 20, 6, 36, 30, 17, 34]","[[5, 14]]",10
"[3, 33, 8, 20, 6, 36, 30, 17, 34, 33]","[[5, 14]]",10
"[33, 8, 20, 6, 36, 30, 17, 34, 33, 246]","[[5, 14]]",10
"[8, 20, 6, 36, 30, 17, 34, 33, 246, 0]","[[5, 14]]",10
"[33, 0, 3, 33, 8, 20, 6, 36, 30, 17, 34]","[[5, 14]]",11
"[0, 3, 33, 8, 20, 6, 36, 30, 17, 34, 33]","[[5, 14]]",11
"[3, 33, 8, 20, 6, 36, 30, 17, 34, 33, 246]","[[5, 14]]",11
"[33, 8, 20, 6, 36, 30, 17, 34, 33, 246, 0]","[[5, 14]]",11
"[33, 0, 3, 33, 8, 20, 6, 36, 30, 17, 34, 33]","[[5, 14]]",12
"[0, 3, 33, 8, 20, 6, 36, 30, 17, 34, 33, 246]","[[5, 14]]",12
"[3, 33, 8, 20, 6, 36, 30, 17, 34, 33, 246, 0]","[[5, 14]]",12
"[33, 0, 3, 33, 8, 20, 6, 36, 30, 17, 34, 33, 246]","[[5, 14]]",13
"[0, 3, 33, 8, 20, 6, 36, 30, 17, 34, 33, 246, 0]","[[5, 14]]",13
"[33, 0, 3, 33, 8, 20, 6, 36, 30, 17, 34, 33, 246, 0]","[[5, 14]]",14
"[33, 37]","[[5, 18], [5, 26], [5, 62]]",2
"[37, 33]","[[5, 18], [5, 26], [5, 62]]",2
"[0, 33, 37]","[[5, 18], [5, 62]]",3
"[33, 37, 33]","[[5, 18], [5, 26], [5, 62]]",3
"[37, 33, 37]","[[5, 18]]",3
"[37, 33, 0]","[[5, 18], [5, 62]]",3
"[0, 3, 0]","[[5, 18], [96, 12], [179, 21], [179, 27]]",3
"[0, 33, 37, 33]","[[5, 18], [5, 62]]",4
"[33, 37, 33, 37]","[[5, 18]]",4
"[37, 33, 37, 33]","[[5, 18]]",4
"[33, 37, 33, 0]","[[5, 18], [5, 62]]",4
"[37, 33, 0, 3]","[[5, 18]]",4
"[33, 0, 3, 0]","[[5, 18]]",4
"[0, 33, 37, 33, 37]","[[5, 18]]",5
"[33, 37, 33, 37, 33]","[[5, 18]]",5
"[37, 33, 37, 33, 0]","[[5, 18]]",5
"[33, 37, 33, 0, 3]","[[5, 18]]",5
"[37, 33, 0, 3, 0]","[[5, 18]]",5
"[0, 33, 37, 33, 37, 33]","[[5, 18]]",6
"[33, 37, 33, 37, 33, 0]","[[5, 18]]",6
"[37, 33, 37, 33, 0, 3]","[[5, 18]]",6
"[33, 37, 33, 0, 3, 0]","[[5, 18]]",6
"[0, 33, 37, 33, 37, 33, 0]","[[5, 18]]",7
"[33, 37, 33, 37, 33, 0, 3]","[[5, 18]]",7
"[37, 33, 37, 33, 0, 3, 0]","[[5, 18]]",7
"[0, 33, 37, 33, 37, 33, 0, 3]","[[5, 18]]",8
"[33, 37, 33, 37, 33, 0, 3, 0]","[[5, 18]]",8
"[0, 33, 37, 33, 37, 33, 0, 3, 0]","[[5, 18]]",9
"[0, 38]","[[5, 22], [5, 29], [5, 37], [5, 53], [44, 52]]",2
"[38, 0]","[[5, 22], [5, 23], [5, 29], [5, 37], [168, 22]]",2
"[33, 0, 38]","[[5, 22], [5, 53]]",3
"[0, 38, 0]","[[5, 22], [5, 29], [5, 37]]",3
"[0, 33, 0, 38]","[[5, 22], [5, 53]]",4
"[33, 0, 38, 0]","[[5, 22]]",4
"[0, 33, 0, 38, 0]","[[5, 22]]",5
"[33, 38]","[[5, 23]]",2
"[0, 33, 38]","[[5, 23]]",3
"[33, 38, 0]","[[5, 23]]",3
"[0, 33, 38, 0]","[[5, 23]]",4
"[33, 39]","[[5, 26]]",2
"[37, 33, 39]","[[5, 26]]",3
"[33, 37, 33, 39]","[[5, 26]]",4
"[33, 0, 33]","[[5, 27], [5, 53], [5, 62]]",3
"[0, 33, 3]","[[5, 27], [5, 71]]",3
"[3, 0, 3]","[[5, 27], [5, 71]]",3
"[33, 0, 33, 3]","[[5, 27]]",4
"[0, 33, 3, 0]","[[5, 27], [5, 71]]",4
"[33, 3, 0, 3]","[[5, 27], [5, 71]]",4
"[3, 0, 3, 33]","[[5, 27]]",4
"[33, 0, 33, 3, 0]","[[5, 27]]",5
"[0, 33, 3, 0, 3]","[[5, 27], [5, 71]]",5
"[33, 3, 0, 3, 33]","[[5, 27]]",5
"[33, 0, 33, 3, 0, 3]","[[5, 27]]",6
"[0, 33, 3, 0, 3, 33]","[[5, 27]]",6
"[33, 0, 33, 3, 0, 3, 33]","[[5, 27]]",7
"[0, 32]","[[5, 29]]",2
"[0, 32, 0]","[[5, 29]]",3
"[32, 0, 38]","[[5, 29]]",3
"[0, 32, 0, 38]","[[5, 29]]",4
"[32, 0, 38, 0]","[[5, 29]]",4
"[0, 32, 0, 38, 0]","[[5, 29]]",5
"[33, 4]","[[5, 33]]",2
"[4, 26]","[[5, 33], [147, 74]]",2
"[26, 20]","[[5, 33]]",2
"[20, 33]","[[5, 33]]",2
"[33, 4, 26]","[[5, 33]]",3
"[4, 26, 20]","[[5, 33]]",3
"[26, 20, 33]","[[5, 33]]",3
"[33, 4, 26, 20]","[[5, 33]]",4
"[4, 26, 20, 33]","[[5, 33]]",4
"[33, 4, 26, 20, 33]","[[5, 33]]",5
"[0, 40]","[[5, 47], [35, 13], [35, 25], [35, 33], [35, 40], [35, 48], [35, 58], [35, 67], [35, 74], [36, 21], [67, 2], [147, 49]]",2
"[40, 32]","[[5, 47]]",2
"[32, 31]","[[5, 47]]",2
"[31, 0]","[[5, 47]]",2
"[33, 0, 40]","[[5, 47]]",3
"[0, 40, 32]","[[5, 47]]",3
"[40, 32, 31]","[[5, 47]]",3
"[32, 31, 0]","[[5, 47]]",3
"[33, 0, 40, 32]","[[5, 47]]",4
"[0, 40, 32, 31]","[[5, 47]]",4
"[40, 32, 31, 0]","[[5, 47]]",4
"[33, 0, 40, 32, 31]","[[5, 47]]",5
"[0, 40, 32, 31, 0]","[[5, 47]]",5
"[33, 0, 40, 32, 31, 0]","[[5, 47]]",6
"[0, 41]","[[5, 50], [44, 12], [52, 9], [73, 9], [134, 8]]",2
"[41, 4]","[[5, 50], [36, 48], [38, 38], [38, 102], [52, 9], [52, 46], [52, 92], [104, 100]]",2
"[4, 0]","[[5, 50], [35, 24], [35, 43], [35, 71], [36, 14], [36, 48], [44, 20], [44, 72], [52, 6], [52, 63], [52, 68], [91, 19], [96, 106], [104, 52], [147, 67], [147, 82], [147, 83], [174, 62], [179, 71]]",2
"[33, 0, 41]","[[5, 50]]",3
"[0, 41, 4]","[[5, 50], [52, 9]]",3
"[41, 4, 0]","[[5, 50], [36, 48]]",3
"[33, 0, 41, 4]","[[5, 50]]",4
"[0, 41, 4, 0]","[[5, 50]]",4
"[33, 0, 41, 4, 0]","[[5, 50]]",5
"[8, 6]","[[5, 52]]",2
"[6, 8]","[[5, 52], [38, 96], [174, 50]]",2
"[8, 0]","[[5, 52], [96, 95], [179, 63]]",2
"[33, 0, 8]","[[5, 52]]",3
"[0, 8, 6]","[[5, 52]]",3
"[8, 6, 8]","[[5, 52]]",3
"[6, 8, 0]","[[5, 52]]",3
"[8, 0, 33]","[[5, 52]]",3
"[0, 33, 0, 8]","[[5, 52]]",4
"[33, 0, 8, 6]","[[5, 52]]",4
"[0, 8, 6, 8]","[[5, 52]]",4
"[8, 6, 8, 0]","[[5, 52]]",4
"[6, 8, 0, 33]","[[5, 52]]",4
"[0, 33, 0, 8, 6]","[[5, 52]]",5
"[33, 0, 8, 6, 8]","[[5, 52]]",5
"[0, 8, 6, 8, 0]","[[5, 52]]",5
"[8, 6, 8, 0, 33]","[[5, 52]]",5
"[0, 33, 0, 8, 6, 8]","[[5, 52]]",6
"[33, 0, 8, 6, 8, 0]","[[5, 52]]",6
"[0, 8, 6, 8, 0, 33]","[[5, 52]]",6
"[0, 33, 0, 8, 6, 8, 0]","[[5, 52]]",7
"[33, 0, 8, 6, 8, 0, 33]","[[5, 52]]",7
"[0, 33, 0, 8, 6, 8, 0, 33]","[[5, 52]]",8
"[38, 32]","[[5, 53]]",2
"[32, 40]","[[5, 53]]",2
"[40, 0]","[[5, 53], [24, 6], [35, 43], [35, 60], [35, 65], [96, 103], [147, 15], [179, 70]]",2
"[0, 38, 32]","[[5, 53]]",3
"[38, 32, 40]","[[5, 53]]",3
"[32, 40, 0]","[[5, 53]]",3
"[33, 0, 33, 0]","[[5, 53], [5, 62]]",4
"[33, 0, 38, 32]","[[5, 53]]",4
"[0, 38, 32, 40]","[[5, 53]]",4
"[38, 32, 40, 0]","[[5, 53]]",4
"[33, 0, 33, 0, 38]","[[5, 53]]",5
"[0, 33, 0, 38, 32]","[[5, 53]]",5
"[33, 0, 38, 32, 40]","[[5, 53]]",5
"[0, 38, 32, 40, 0]","[[5, 53]]",5
"[33, 0, 33, 0, 38, 32]","[[5, 53]]",6
"[0, 33, 0, 38, 32, 40]","[[5, 53]]",6
"[33, 0, 38, 32, 40, 0]","[[5, 53]]",6
"[33, 0, 33, 0, 38, 32, 40]","[[5, 53]]",7
"[0, 33, 0, 38, 32, 40, 0]","[[5, 53]]",7
"[33, 0, 33, 0, 38, 32, 40, 0]","[[5, 53]]",8
"[3, 34]","[[5, 56], [5, 81]]",2
"[33, 152]","[[5, 58]]",2
"[152, 4]","[[5, 58]]",2
"[33, 152, 4]","[[5, 58]]",3
"[37, 33, 0, 33]","[[5, 62]]",4
"[0, 33, 37, 33, 0]","[[5, 62]]",5
"[33, 37, 33, 0, 33]","[[5, 62]]",5
"[37, 33, 0, 33, 0]","[[5, 62]]",5
"[0, 33, 37, 33, 0, 33]","[[5, 62]]",6
"[33, 37, 33, 0, 33, 0]","[[5, 62]]",6
"[0, 33, 37, 33, 0, 33, 0]","[[5, 62]]",7
"[33, 34]","[[5, 63], [5, 66], [96, 49], [96, 92], [96, 109], [179, 61]]",2
"[0, 33, 34]","[[5, 63], [5, 66], [96, 49], [96, 109]]",3
"[33, 34, 33]","[[5, 63], [5, 66], [96, 49]]",3
"[0, 33, 34, 33]","[[5, 63], [5, 66], [96, 49]]",4
"[34, 33, 0]","[[5, 66], [44, 49]]",3
"[33, 0, 35]","[[5, 66]]",3
"[33, 34, 33, 0]","[[5, 66]]",4
"[34, 33, 0, 35]","[[5, 66]]",4
"[0, 33, 34, 33, 0]","[[5, 66]]",5
"[33, 34, 33, 0, 35]","[[5, 66]]",5
"[0, 33, 34, 33, 0, 35]","[[5, 66]]",6
"[0, 207]","[[5, 67]]",2
"[34, 0, 33]","[[5, 71], [96, 49], [96, 78], [96, 109]]",3
"[34, 0, 33, 3]","[[5, 71]]",4
"[34, 0, 33, 3, 0]","[[5, 71]]",5
"[34, 0, 33, 3, 0, 3]","[[5, 71]]",6
"[3, 34, 0]","[[5, 81]]",3
"[0, 43]","[[12, 1], [12, 9], [12, 19], [12, 22], [12, 25], [12, 26], [12, 27], [12, 30], [12, 31], [12, 32], [12, 39], [12, 40], [12, 42], [12, 43], [12, 46], [12, 48], [12, 49], [12, 51], [12, 52], [12, 57], [12, 62], [12, 63], [12, 64], [12, 69], [12, 72], [12, 73], [12, 74], [12, 77]]",2
"[43, 4]","[[12, 1]]",2
"[0, 43, 4]","[[12, 1]]",3
"[14, 60]","[[12, 4]]",2
"[0, 14, 60]","[[12, 4]]",3
"[3, 44]","[[12, 8]]",2
"[44, 0]","[[12, 8], [12, 15], [12, 24], [12, 27], [44, 42]]",2
"[3, 44, 0]","[[12, 8]]",3
"[43, 44]","[[12, 9], [12, 15], [12, 27]]",2
"[0, 43, 44]","[[12, 9], [12, 27]]",3
"[43, 44, 0]","[[12, 15], [12, 27]]",3
"[43, 45]","[[12, 19]]",2
"[45, 0]","[[12, 19], [24, 48]]",2
"[35, 46]","[[12, 19]]",2
"[0, 43, 45]","[[12, 19]]",3
"[43, 45, 0]","[[12, 19]]",3
"[45, 0, 35]","[[12, 19]]",3
"[0, 35, 46]","[[12, 19]]",3
"[0, 43, 45, 0]","[[12, 19]]",4
"[43, 45, 0, 35]","[[12, 19]]",4
"[45, 0, 35, 46]","[[12, 19]]",4
"[0, 43, 45, 0, 35]","[[12, 19]]",5
"[43, 45, 0, 35, 46]","[[12, 19]]",5
"[0, 43, 45, 0, 35, 46]","[[12, 19]]",6
"[43, 17]","[[12, 22]]",2
"[17, 25]","[[12, 22]]",2
"[25, 47]","[[12, 22]]",2
"[0, 43, 17]","[[12, 22]]",3
"[43, 17, 25]","[[12, 22]]",3
"[17, 25, 47]","[[12, 22]]",3
"[0, 43, 17, 25]","[[12, 22]]",4
"[43, 17, 25, 47]","[[12, 22]]",4
"[0, 43, 17, 25, 47]","[[12, 22]]",5
"[43, 48]","[[12, 26]]",2
"[0, 43, 48]","[[12, 26]]",3
"[0, 43, 44, 0]","[[12, 27]]",4
"[43, 20]","[[12, 32]]",2
"[20, 0]","[[12, 32], [19, 45], [78, 2], [82, 17], [96, 94], [104, 77], [104, 84], [179, 16], [179, 62]]",2
"[0, 43, 20]","[[12, 32]]",3
"[43, 20, 0]","[[12, 32]]",3
"[0, 43, 20, 0]","[[12, 32]]",4
"[123, 43]","[[12, 34]]",2
"[0, 50]","[[12, 35], [35, 51], [36, 41], [91, 12]]",2
"[50, 43]","[[12, 35]]",2
"[0, 50, 43]","[[12, 35]]",3
"[0, 51]","[[12, 38]]",2
"[51, 0]","[[12, 38]]",2
"[0, 51, 0]","[[12, 38]]",3
"[43, 0]","[[12, 40], [12, 42], [12, 43], [12, 56], [12, 70], [12, 71], [96, 89]]",2
"[0, 43, 0]","[[12, 40], [12, 42], [12, 43]]",3
"[43, 16]","[[12, 48]]",2
"[16, 0]","[[12, 48], [12, 50]]",2
"[0, 43, 16]","[[12, 48]]",3
"[43, 16, 0]","[[12, 48]]",3
"[0, 43, 16, 0]","[[12, 48]]",4
"[43, 3]","[[12, 51]]",2
"[0, 43, 3]","[[12, 51]]",3
"[43, 3, 0]","[[12, 51]]",3
"[0, 43, 3, 0]","[[12, 51]]",4
"[47, 43]","[[12, 56]]",2
"[47, 43, 0]","[[12, 56]]",3
"[43, 6]","[[12, 59]]",2
"[53, 54]","[[19, 2]]",2
"[54, 55]","[[19, 2]]",2
"[55, 56]","[[19, 2]]",2
"[53, 54, 55]","[[19, 2]]",3
"[54, 55, 56]","[[19, 2]]",3
"[53, 54, 55, 56]","[[19, 2]]",4
"[59, 52]","[[19, 15], [19, 37]]",2
"[57, 60]","[[19, 38], [19, 50]]",2
"[58, 55]","[[19, 40]]",2
"[0, 20, 0]","[[19, 45], [78, 2]]",3
"[56, 57]","[[19, 50]]",2
"[56, 57, 60]","[[19, 50]]",3
"[58, 52]","[[19, 59]]",2
"[55, 52]","[[19, 61]]",2
"[52, 56]","[[19, 61]]",2
"[55, 52, 56]","[[19, 61]]",3
"[0, 30]","[[24, 1], [24, 4], [24, 6], [36, 14], [36, 15], [36, 18], [36, 23], [36, 24], [36, 25], [36, 31], [36, 35], [36, 36], [36, 39], [36, 41], [36, 44], [36, 46], [36, 49], [36, 53], [36, 54], [36, 56], [36, 57], [36, 60], [36, 63], [36, 65], [44, 20], [52, 18], [96, 103], [147, 9], [147, 16], [147, 33], [147, 37]]",2
"[30, 0]","[[24, 1], [24, 6], [36, 14], [36, 15], [36, 24], [36, 25], [36, 31], [36, 35], [36, 36], [36, 39], [36, 41], [36, 44], [36, 46], [36, 49], [36, 54], [36, 57], [36, 58], [36, 60], [36, 61], [36, 63], [36, 65], [44, 20], [147, 19]]",2
"[0, 134]","[[24, 1], [36, 8], [44, 21], [71, 58]]",2
"[134, 30]","[[24, 1]]",2
"[0, 30, 0]","[[24, 1], [24, 6], [36, 14], [36, 15], [36, 24], [36, 31], [36, 35], [36, 36], [36, 41], [36, 46], [36, 49], [36, 54], [36, 57], [36, 63], [36, 65], [44, 20]]",3
"[30, 0, 134]","[[24, 1]]",3
"[0, 134, 30]","[[24, 1]]",3
"[134, 30, 0]","[[24, 1]]",3
"[0, 30, 0, 134]","[[24, 1]]",4
"[30, 0, 134, 30]","[[24, 1]]",4
"[0, 134, 30, 0]","[[24, 1]]",4
"[0, 30, 0, 134, 30]","[[24, 1]]",5
"[30, 0, 134, 30, 0]","[[24, 1]]",5
"[0, 30, 0, 134, 30, 0]","[[24, 1]]",6
"[0, 61]","[[24, 4], [36, 28], [36, 32], [36, 64]]",2
"[61, 0]","[[24, 4], [36, 32], [36, 46], [36, 64]]",2
"[0, 61, 0]","[[24, 4], [36, 32], [36, 64]]",3
"[61, 0, 30]","[[24, 4]]",3
"[0, 61, 0, 30]","[[24, 4]]",4
"[30, 62]","[[24, 6]]",2
"[62, 63]","[[24, 6]]",2
"[63, 6]","[[24, 6]]",2
"[40, 0, 30]","[[24, 6]]",3
"[30, 0, 30]","[[24, 6], [36, 14], [36, 25], [36, 39], [36, 46], [36, 49], [36, 63], [36, 65]]",3
"[0, 30, 62]","[[24, 6]]",3
"[30, 62, 63]","[[24, 6]]",3
"[62, 63, 6]","[[24, 6]]",3
"[63, 6, 0]","[[24, 6]]",3
"[40, 0, 30, 0]","[[24, 6]]",4
"[0, 30, 0, 30]","[[24, 6], [36, 14], [36, 46], [36, 49], [36, 65]]",4
"[30, 0, 30, 62]","[[24, 6]]",4
"[0, 30, 62, 63]","[[24, 6]]",4
"[30, 62, 63, 6]","[[24, 6]]",4
"[62, 63, 6, 0]","[[24, 6]]",4
"[40, 0, 30, 0, 30]","[[24, 6]]",5
"[0, 30, 0, 30, 62]","[[24, 6]]",5
"[30, 0, 30, 62, 63]","[[24, 6]]",5
"[0, 30, 62, 63, 6]","[[24, 6]]",5
"[30, 62, 63, 6, 0]","[[24, 6]]",5
"[40, 0, 30, 0, 30, 62]","[[24, 6]]",6
"[0, 30, 0, 30, 62, 63]","[[24, 6]]",6
"[30, 0, 30, 62, 63, 6]","[[24, 6]]",6
"[0, 30, 62, 63, 6, 0]","[[24, 6]]",6
"[40, 0, 30, 0, 30, 62, 63]","[[24, 6]]",7
"[0, 30, 0, 30, 62, 63, 6]","[[24, 6]]",7
"[30, 0, 30, 62, 63, 6, 0]","[[24, 6]]",7
"[40, 0, 30, 0, 30, 62, 63, 6]","[[24, 6]]",8
"[0, 30, 0, 30, 62, 63, 6, 0]","[[24, 6]]",8
"[40, 0, 30, 0, 30, 62, 63, 6, 0]","[[24, 6]]",9
"[97, 64]","[[24, 9], [24, 50]]",2
"[65, 66]","[[24, 10]]",2
"[66, 64]","[[24, 10], [24, 16]]",2
"[65, 66, 64]","[[24, 10]]",3
"[64, 67]","[[24, 11], [24, 90]]",2
"[67, 64]","[[24, 11], [24, 57], [24, 90]]",2
"[64, 67, 64]","[[24, 11], [24, 90]]",3
"[64, 4]","[[24, 12], [24, 19], [24, 53]]",2
"[4, 64]","[[24, 12]]",2
"[64, 4, 64]","[[24, 12]]",3
"[64, 94]","[[24, 13], [24, 85]]",2
"[94, 64]","[[24, 13], [24, 85]]",2
"[64, 94, 64]","[[24, 13], [24, 85]]",3
"[64, 68]","[[24, 14], [24, 17], [24, 18], [24, 41], [24, 43], [24, 64], [24, 67], [24, 81]]",2
"[68, 69]","[[24, 15]]",2
"[69, 70]","[[24, 15]]",2
"[70, 71]","[[24, 15]]",2
"[71, 64]","[[24, 15]]",2
"[68, 69, 70]","[[24, 15]]",3
"[69, 70, 71]","[[24, 15]]",3
"[70, 71, 64]","[[24, 15]]",3
"[68, 69, 70, 71]","[[24, 15]]",4
"[69, 70, 71, 64]","[[24, 15]]",4
"[68, 69, 70, 71, 64]","[[24, 15]]",5
"[11, 51]","[[24, 16]]",2
"[51, 66]","[[24, 16]]",2
"[11, 51, 66]","[[24, 16]]",3
"[51, 66, 64]","[[24, 16]]",3
"[11, 51, 66, 64]","[[24, 16]]",4
"[68, 72]","[[24, 17]]",2
"[72, 68]","[[24, 17]]",2
"[68, 73]","[[24, 17]]",2
"[64, 68, 72]","[[24, 17]]",3
"[68, 72, 68]","[[24, 17]]",3
"[72, 68, 72]","[[24, 17]]",3
"[72, 68, 73]","[[24, 17]]",3
"[64, 68, 72, 68]","[[24, 17]]",4
"[68, 72, 68, 72]","[[24, 17]]",4
"[72, 68, 72, 68]","[[24, 17]]",4
"[68, 72, 68, 73]","[[24, 17]]",4
"[64, 68, 72, 68, 72]","[[24, 17]]",5
"[68, 72, 68, 72, 68]","[[24, 17]]",5
"[72, 68, 72, 68, 73]","[[24, 17]]",5
"[64, 68, 72, 68, 72, 68]","[[24, 17]]",6
"[68, 72, 68, 72, 68, 73]","[[24, 17]]",6
"[64, 68, 72, 68, 72, 68, 73]","[[24, 17]]",7
"[68, 74]","[[24, 18]]",2
"[74, 64]","[[24, 18], [24, 93]]",2
"[64, 68, 74]","[[24, 18]]",3
"[68, 74, 64]","[[24, 18]]",3
"[64, 68, 74, 64]","[[24, 18]]",4
"[4, 75]","[[24, 19]]",2
"[75, 76]","[[24, 19]]",2
"[76, 64]","[[24, 19]]",2
"[64, 11]","[[24, 19], [24, 60]]",2
"[64, 4, 75]","[[24, 19]]",3
"[4, 75, 76]","[[24, 19]]",3
"[75, 76, 64]","[[24, 19]]",3
"[76, 64, 11]","[[24, 19]]",3
"[64, 4, 75, 76]","[[24, 19]]",4
"[4, 75, 76, 64]","[[24, 19]]",4
"[75, 76, 64, 11]","[[24, 19]]",4
"[64, 4, 75, 76, 64]","[[24, 19]]",5
"[4, 75, 76, 64, 11]","[[24, 19]]",5
"[64, 4, 75, 76, 64, 11]","[[24, 19]]",6
"[64, 127]","[[24, 20]]",2
"[127, 77]","[[24, 20]]",2
"[77, 78]","[[24, 20]]",2
"[78, 6]","[[24, 20], [38, 30]]",2
"[6, 64]","[[24, 20]]",2
"[64, 127, 77]","[[24, 20]]",3
"[127, 77, 78]","[[24, 20]]",3
"[77, 78, 6]","[[24, 20]]",3
"[78, 6, 64]","[[24, 20]]",3
"[64, 127, 77, 78]","[[24, 20]]",4
"[127, 77, 78, 6]","[[24, 20]]",4
"[77, 78, 6, 64]","[[24, 20]]",4
"[64, 127, 77, 78, 6]","[[24, 20]]",5
"[127, 77, 78, 6, 64]","[[24, 20]]",5
"[64, 127, 77, 78, 6, 64]","[[24, 20]]",6
"[64, 79]","[[24, 21], [24, 51], [24, 56]]",2
"[79, 80]","[[24, 21]]",2
"[64, 79, 80]","[[24, 21]]",3
"[80, 81]","[[24, 22]]",2
