SN,SG,k
"[23, 26, 25, 26]","[[1, 36]]",4
"[26, 25, 26, 8]","[[1, 36]]",4
"[25, 26, 8, 1]","[[1, 36]]",4
"[26, 8, 1, 2]","[[1, 36]]",4
"[2, 1, 23, 26, 25]","[[1, 36]]",5
"[1, 23, 26, 25, 26]","[[1, 36]]",5
"[23, 26, 25, 26, 8]","[[1, 36]]",5
"[26, 25, 26, 8, 1]","[[1, 36]]",5
"[25, 26, 8, 1, 2]","[[1, 36]]",5
"[2, 1, 23, 26, 25, 26]","[[1, 36]]",6
"[1, 23, 26, 25, 26, 8]","[[1, 36]]",6
"[23, 26, 25, 26, 8, 1]","[[1, 36]]",6
"[26, 25, 26, 8, 1, 2]","[[1, 36]]",6
"[2, 1, 23, 26, 25, 26, 8]","[[1, 36]]",7
"[1, 23, 26, 25, 26, 8, 1]","[[1, 36]]",7
"[23, 26, 25, 26, 8, 1, 2]","[[1, 36]]",7
"[2, 1, 23, 26, 25, 26, 8, 1]","[[1, 36]]",8
"[1, 23, 26, 25, 26, 8, 1, 2]","[[1, 36]]",8
"[2, 1, 23, 26, 25, 26, 8, 1, 2]","[[1, 36]]",9
"[3, 217]","[[1, 38]]",2
"[217, 19]","[[1, 38]]",2
"[19, 7]","[[1, 38]]",2
"[7, 2]","[[1, 38], [1, 43], [1, 59]]",2
"[0, 3, 217]","[[1, 38]]",3
"[3, 217, 19]","[[1, 38]]",3
"[217, 19, 7]","[[1, 38]]",3
"[19, 7, 2]","[[1, 38]]",3
"[0, 3, 217, 19]","[[1, 38]]",4
"[3, 217, 19, 7]","[[1, 38]]",4
"[217, 19, 7, 2]","[[1, 38]]",4
"[0, 3, 217, 19, 7]","[[1, 38]]",5
"[3, 217, 19, 7, 2]","[[1, 38]]",5
"[0, 3, 217, 19, 7, 2]","[[1, 38]]",6
"[2, 23]","[[1, 42]]",2
"[0, 7]","[[1, 43], [1, 59], [35, 43]]",2
"[0, 7, 2]","[[1, 43], [1, 59]]",3
"[0, 8]","[[1, 44], [5, 52], [35, 32], [82, 17]]",2
"[0, 8, 2]","[[1, 44]]",3
"[0, 12]","[[1, 46], [1, 61], [35, 3], [35, 36]]",2
"[0, 12, 2]","[[1, 46]]",3
"[3, 1]","[[1, 50]]",2
"[0, 3, 1]","[[1, 50]]",3
"[2, 12, 0]","[[1, 51], [1, 53], [1, 55]]",3
"[12, 0, 6]","[[1, 51]]",3
"[2, 12, 0, 6]","[[1, 51]]",4
"[0, 195]","[[1, 55], [67, 6]]",2
"[195, 0]","[[1, 55], [12, 45], [67, 6], [67, 108], [67, 115]]",2
"[12, 0, 195]","[[1, 55]]",3
"[0, 195, 0]","[[1, 55], [67, 6]]",3
"[2, 12, 0, 195]","[[1, 55]]",4
"[12, 0, 195, 0]","[[1, 55]]",4
"[2, 12, 0, 195, 0]","[[1, 55]]",5
"[7, 2, 1]","[[1, 59]]",3
"[1, 0, 1]","[[1, 59]]",3
"[0, 7, 2, 1]","[[1, 59]]",4
"[7, 2, 1, 0]","[[1, 59]]",4
"[2, 1, 0, 1]","[[1, 59]]",4
"[0, 7, 2, 1, 0]","[[1, 59]]",5
"[7, 2, 1, 0, 1]","[[1, 59]]",5
"[0, 7, 2, 1, 0, 1]","[[1, 59]]",6
"[0, 27]","[[1, 62]]",2
"[27, 0]","[[1, 62]]",2
"[0, 20]","[[1, 62], [19, 45], [78, 2], [96, 94], [104, 1], [174, 12], [174, 62], [179, 10], [179, 62]]",2
"[20, 1]","[[1, 62], [1, 69]]",2
"[23, 0, 27]","[[1, 62]]",3
"[0, 27, 0]","[[1, 62]]",3
"[27, 0, 27]","[[1, 62]]",3
"[27, 0, 20]","[[1, 62]]",3
"[0, 20, 1]","[[1, 62]]",3
"[20, 1, 2]","[[1, 62], [1, 69]]",3
"[1, 23, 0, 27]","[[1, 62]]",4
"[23, 0, 27, 0]","[[1, 62]]",4
"[0, 27, 0, 27]","[[1, 62]]",4
"[27, 0, 27, 0]","[[1, 62]]",4
"[0, 27, 0, 20]","[[1, 62]]",4
"[27, 0, 20, 1]","[[1, 62]]",4
"[0, 20, 1, 2]","[[1, 62]]",4
"[2, 1, 23, 0, 27]","[[1, 62]]",5
"[1, 23, 0, 27, 0]","[[1, 62]]",5
"[23, 0, 27, 0, 27]","[[1, 62]]",5
"[0, 27, 0, 27, 0]","[[1, 62]]",5
"[27, 0, 27, 0, 20]","[[1, 62]]",5
"[0, 27, 0, 20, 1]","[[1, 62]]",5
"[27, 0, 20, 1, 2]","[[1, 62]]",5
"[2, 1, 23, 0, 27, 0]","[[1, 62]]",6
"[1, 23, 0, 27, 0, 27]","[[1, 62]]",6
"[23, 0, 27, 0, 27, 0]","[[1, 62]]",6
"[0, 27, 0, 27, 0, 20]","[[1, 62]]",6
"[27, 0, 27, 0, 20, 1]","[[1, 62]]",6
"[0, 27, 0, 20, 1, 2]","[[1, 62]]",6
"[2, 1, 23, 0, 27, 0, 27]","[[1, 62]]",7
"[1, 23, 0, 27, 0, 27, 0]","[[1, 62]]",7
"[23, 0, 27, 0, 27, 0, 20]","[[1, 62]]",7
"[0, 27, 0, 27, 0, 20, 1]","[[1, 62]]",7
"[27, 0, 27, 0, 20, 1, 2]","[[1, 62]]",7
"[2, 1, 23, 0, 27, 0, 27, 0]","[[1, 62]]",8
"[1, 23, 0, 27, 0, 27, 0, 20]","[[1, 62]]",8
"[23, 0, 27, 0, 27, 0, 20, 1]","[[1, 62]]",8
"[0, 27, 0, 27, 0, 20, 1, 2]","[[1, 62]]",8
"[2, 1, 23, 0, 27, 0, 27, 0, 20]","[[1, 62]]",9
"[1, 23, 0, 27, 0, 27, 0, 20, 1]","[[1, 62]]",9
"[23, 0, 27, 0, 27, 0, 20, 1, 2]","[[1, 62]]",9
"[2, 1, 23, 0, 27, 0, 27, 0, 20, 1]","[[1, 62]]",10
"[1, 23, 0, 27, 0, 27, 0, 20, 1, 2]","[[1, 62]]",10
"[2, 1, 23, 0, 27, 0, 27, 0, 20, 1, 2]","[[1, 62]]",11
"[0, 18]","[[1, 64], [1, 67], [35, 9], [36, 31], [44, 69], [71, 28], [71, 32], [74, 78], [96, 6], [174, 2], [174, 13], [174, 43], [174, 51]]",2
"[18, 1]","[[1, 64]]",2
"[0, 18, 1]","[[1, 64]]",3
"[18, 1, 2]","[[1, 64]]",3
"[1, 2, 1]","[[1, 64]]",3
"[0, 18, 1, 2]","[[1, 64]]",4
"[18, 1, 2, 1]","[[1, 64]]",4
